Points,FPS
100000,121.34
150000,121.55
200000,121.21
250000,121.39
300000,120.63
350000,113.91
400000,121.34
450000,110.01
500000,121.27
550000,120.94
600000,121.41
650000,121.50
700000,119.99
750000,119.91
800000,120.42
850000,119.37
900000,118.49
950000,119.15
1000000,119.39
1050000,119.32
1100000,118.11
1150000,117.20
1200000,118.81
1250000,115.78
1300000,117.55
1350000,116.95
1400000,116.64
1450000,116.65
1500000,116.63
1550000,116.87
1600000,115.97
1650000,115.68
1700000,114.97
1750000,114.74
1800000,115.42
1850000,115.62
1900000,113.13
1950000,114.62
2000000,114.52
